Date,DAY,MONTH,YEAR,Open,Close
16-10-2015,16,10,2015,17141.75,17215.9707
15-10-2015,15,10,2015,16944.85938,17141.75
14-10-2015,14,10,2015,17079.08008,16924.75
13-10-2015,13,10,2015,17113.55078,17081.89063
12-10-2015,12,10,2015,17082.28906,17131.85938
09-10-2015,9,10,2015,17054.68945,17084.49023
08-10-2015,8,10,2015,16904.16992,17050.75
07-10-2015,7,10,2015,16805.41992,16912.28906
06-10-2015,6,10,2015,16774.01953,16790.18945
05-10-2015,5,10,2015,16502.09961,16776.42969
02-10-2015,2,10,2015,16258.25,16472.36914
01-10-2015,1,10,2015,16278.62012,16272.00977
30-09-2015,30,9,2015,16057.08008,16284.7002
29-09-2015,29,9,2015,16001.75977,16049.12988
28-09-2015,28,9,2015,16313.25977,16001.88965
25-09-2015,25,9,2015,16205.07031,16314.66992
24-09-2015,24,9,2015,16257.11035,16201.32031
23-09-2015,23,9,2015,16332.80957,16279.88965
22-09-2015,22,9,2015,16477.44922,16330.46973
21-09-2015,21,9,2015,16406.09961,16510.18945
18-09-2015,18,9,2015,16674.74023,16384.58008
17-09-2015,17,9,2015,16738.08008,16674.74023
16-09-2015,16,9,2015,16599.50977,16739.94922
15-09-2015,15,9,2015,16382.58008,16599.84961
14-09-2015,14,9,2015,16450.85938,16370.95996
11-09-2015,11,9,2015,16330.40039,16433.08984
10-09-2015,10,9,2015,16252.57031,16330.40039
09-09-2015,9,9,2015,16505.03906,16253.57031
08-09-2015,8,9,2015,16109.92969,16492.67969
04-09-2015,4,9,2015,16371.75977,16102.37988
03-09-2015,3,9,2015,16364.33984,16374.75977
02-09-2015,2,9,2015,16058.34961,16351.37988
01-09-2015,1,9,2015,16528.0293,16058.34961
31-08-2015,31,8,2015,16632.01953,16528.0293
28-08-2015,28,8,2015,16649.41992,16643.00977
27-08-2015,27,8,2015,16285.50977,16654.76953
26-08-2015,26,8,2015,15676.25977,16285.50977
25-08-2015,25,8,2015,15882.26953,15666.44043
24-08-2015,24,8,2015,16459.75,15871.34961
21-08-2015,21,8,2015,16990.68945,16459.75
20-08-2015,20,8,2015,17345.32031,16990.68945
19-08-2015,19,8,2015,17508.74023,17348.73047
18-08-2015,18,8,2015,17537.30078,17511.33984
17-08-2015,17,8,2015,17472.66016,17545.17969
14-08-2015,14,8,2015,17410.11914,17477.40039
13-08-2015,13,8,2015,17401.64063,17408.25
12-08-2015,12,8,2015,17382.92969,17402.50977
11-08-2015,11,8,2015,17593.58984,17402.83984
10-08-2015,10,8,2015,17375.17969,17615.16992
07-08-2015,7,8,2015,17414.93945,17373.38086
06-08-2015,6,8,2015,17542.60938,17419.75
05-08-2015,5,8,2015,17555.24023,17540.4707
04-08-2015,4,8,2015,17596.92969,17550.68945
03-08-2015,3,8,2015,17696.74023,17598.19922
31-07-2015,31,7,2015,17755.86914,17689.85938
30-07-2015,30,7,2015,17743.24023,17745.98047
29-07-2015,29,7,2015,17631.40039,17751.39063
28-07-2015,28,7,2015,17449.81055,17630.26953
27-07-2015,27,7,2015,17561.7793,17440.58984
24-07-2015,24,7,2015,17731.05078,17568.5293
23-07-2015,23,7,2015,17853.7793,17731.91992
22-07-2015,22,7,2015,17918.34961,17851.03906
21-07-2015,21,7,2015,18096.66992,17919.28906
20-07-2015,20,7,2015,18085.91016,18100.41016
17-07-2015,17,7,2015,18117.58008,18086.44922
16-07-2015,16,7,2015,18078.16016,18120.25
15-07-2015,15,7,2015,18053.38086,18050.16992
14-07-2015,14,7,2015,17974.60938,18053.58008
13-07-2015,13,7,2015,17787.26953,17977.67969
10-07-2015,10,7,2015,17561.11914,17760.41016
09-07-2015,9,7,2015,17530.38086,17548.61914
08-07-2015,8,7,2015,17759.00977,17515.41992
07-07-2015,7,7,2015,17684.91992,17776.91016
06-07-2015,6,7,2015,17728.08008,17683.58008
02-07-2015,2,7,2015,17763.32031,17730.10938
01-07-2015,1,7,2015,17638.11914,17757.91016
30-06-2015,30,6,2015,17599.96094,17619.50977
29-06-2015,29,6,2015,17936.74023,17596.34961
26-06-2015,26,6,2015,17892.0293,17946.67969
25-06-2015,25,6,2015,17977.10938,17890.35938
24-06-2015,24,6,2015,18139.09961,17966.07031
23-06-2015,23,6,2015,18121.7793,18144.07031
22-06-2015,22,6,2015,18027.63086,18119.7793
19-06-2015,19,6,2015,18116.24023,18015.94922
18-06-2015,18,6,2015,17944.60938,18115.83984
17-06-2015,17,6,2015,17909.58008,17935.74023
16-06-2015,16,6,2015,17787.42969,17904.48047
15-06-2015,15,6,2015,17890.75977,17791.16992
12-06-2015,12,6,2015,18035.83008,17898.83984
11-06-2015,11,6,2015,18001.26953,18039.36914
10-06-2015,10,6,2015,17765.38086,18000.40039
09-06-2015,9,6,2015,17766.94922,17764.03906
08-06-2015,8,6,2015,17849.46094,17766.55078
05-06-2015,5,6,2015,17905.38086,17849.46094
04-06-2015,4,6,2015,18072.4707,17905.58008
03-06-2015,3,6,2015,18018.41992,18076.26953
02-06-2015,2,6,2015,18033.33008,18011.93945
01-06-2015,1,6,2015,18017.82031,18040.36914
29-05-2015,29,5,2015,18128.11914,18010.67969
28-05-2015,28,5,2015,18154.14063,18126.11914
27-05-2015,27,5,2015,18045.08008,18162.99023
26-05-2015,26,5,2015,18229.75,18041.53906
22-05-2015,22,5,2015,18286.86914,18232.01953
21-05-2015,21,5,2015,18285.86914,18285.74023
20-05-2015,20,5,2015,18315.06055,18285.40039
19-05-2015,19,5,2015,18300.48047,18312.39063
18-05-2015,18,5,2015,18267.25,18298.88086
15-05-2015,15,5,2015,18251.9707,18272.56055
14-05-2015,14,5,2015,18062.49023,18252.24023
13-05-2015,13,5,2015,18070.36914,18060.49023
12-05-2015,12,5,2015,18096.16016,18068.23047
11-05-2015,11,5,2015,18187.7793,18105.16992
08-05-2015,8,5,2015,17933.64063,18191.10938
07-05-2015,7,5,2015,17840.25,17924.06055
06-05-2015,6,5,2015,17934.81055,17841.98047
05-05-2015,5,5,2015,18062.5293,17928.19922
04-05-2015,4,5,2015,18026.01953,18070.40039
01-05-2015,1,5,2015,17859.26953,18024.06055
30-04-2015,30,4,2015,18033.33008,17840.51953
29-04-2015,29,4,2015,18093.68945,18035.5293
28-04-2015,28,4,2015,18035.90039,18110.14063
27-04-2015,27,4,2015,18097.89063,18037.9707
24-04-2015,24,4,2015,18056.41992,18080.14063
23-04-2015,23,4,2015,18031.90039,18058.68945
22-04-2015,22,4,2015,17950.82031,18038.26953
21-04-2015,21,4,2015,18034.23047,17949.58984
20-04-2015,20,4,2015,17841.17969,18034.92969
17-04-2015,17,4,2015,18102.56055,17826.30078
16-04-2015,16,4,2015,18106.26953,18105.76953
15-04-2015,15,4,2015,18045.71094,18112.60938
14-04-2015,14,4,2015,17979.10938,18036.69922
13-04-2015,13,4,2015,18052.32031,17977.03906
10-04-2015,10,4,2015,17956.73047,18057.65039
09-04-2015,9,4,2015,17902.50977,17958.73047
08-04-2015,8,4,2015,17877.61914,17902.50977
07-04-2015,7,4,2015,17884.32031,17875.41992
06-04-2015,6,4,2015,17755.5,17880.84961
02-04-2015,2,4,2015,17699.51953,17763.24023
01-04-2015,1,4,2015,17778.51953,17698.17969
31-03-2015,31,3,2015,17965.36914,17776.11914
30-03-2015,30,3,2015,17727.48047,17976.31055
27-03-2015,27,3,2015,17673.63086,17712.66016
26-03-2015,26,3,2015,17716.26953,17678.23047
25-03-2015,25,3,2015,18012.60938,17718.53906
24-03-2015,24,3,2015,18110.86914,18011.14063
23-03-2015,23,3,2015,18136.73047,18116.03906
20-03-2015,20,3,2015,17961.13086,18127.65039
19-03-2015,19,3,2015,18072.58008,17959.0293
18-03-2015,18,3,2015,17846.80078,18076.18945
17-03-2015,17,3,2015,17972.2207,17849.08008
16-03-2015,16,3,2015,17751.24023,17977.41992
13-03-2015,13,3,2015,17889.05078,17749.31055
12-03-2015,12,3,2015,17626.83984,17895.2207
11-03-2015,11,3,2015,17662.93945,17635.39063
10-03-2015,10,3,2015,17989.56055,17662.93945
09-03-2015,9,3,2015,17856.56055,17995.7207
06-03-2015,6,3,2015,18135.7207,17856.7793
05-03-2015,5,3,2015,18096.90039,18135.7207
04-03-2015,4,3,2015,18203.36914,18096.90039
03-03-2015,3,3,2015,18281.94922,18203.36914
02-03-2015,2,3,2015,18134.05078,18288.63086
27-02-2015,27,2,2015,18213.25977,18132.69922
26-02-2015,26,2,2015,18224.41016,18214.41992
25-02-2015,25,2,2015,18208.66992,18224.57031
24-02-2015,24,2,2015,18112.57031,18209.18945
23-02-2015,23,2,2015,18140.75977,18116.83984
20-02-2015,20,2,2015,17985.76953,18140.43945
19-02-2015,19,2,2015,18028.66992,17985.76953
18-02-2015,18,2,2015,18045.7207,18029.84961
17-02-2015,17,2,2015,18019.80078,18047.58008
13-02-2015,13,2,2015,17968.65039,18019.34961
12-02-2015,12,2,2015,17862.14063,17972.38086
11-02-2015,11,2,2015,17867.85938,17862.14063
10-02-2015,10,2,2015,17736.15039,17868.75977
09-02-2015,9,2,2015,17821.49023,17729.21094
06-02-2015,6,2,2015,17881.53906,17824.28906
05-02-2015,5,2,2015,17677.25977,17884.88086
04-02-2015,4,2,2015,17664.99023,17673.01953
03-02-2015,3,2,2015,17369.9707,17666.40039
02-02-2015,2,2,2015,17169.99023,17361.03906
30-01-2015,30,1,2015,17416.84961,17164.94922
29-01-2015,29,1,2015,17195.28906,17416.84961
28-01-2015,28,1,2015,17402.91016,17191.36914
27-01-2015,27,1,2015,17638.5293,17387.21094
26-01-2015,26,1,2015,17668.10938,17678.69922
23-01-2015,23,1,2015,17812.5,17672.59961
22-01-2015,22,1,2015,17557.28906,17813.98047
21-01-2015,21,1,2015,17509.96094,17554.2793
20-01-2015,20,1,2015,17516.96094,17515.23047
16-01-2015,16,1,2015,17320,17511.57031
15-01-2015,15,1,2015,17436.30078,17320.71094
14-01-2015,14,1,2015,17609.06055,17427.08984
13-01-2015,13,1,2015,17645.01953,17613.67969
